date,c_open,c_high,c_low,n_close,n_adj_close,adj_sum_5,adj_sum_10,adj_sum_15,adj_sum_20,adj_sum_25,adj_sum_30,label,closing_price_for_label
2013-06-03,-0.308778,0.617552,-1.499779,0.354139,0.354139,-0.979268,-2.827524,-3.696514,-3.872959,-4.014115,-4.049405,0,22.67
2013-06-04,0.0,1.986755,-0.662252,-0.088222,-0.088222,-0.264902,-2.269315,-3.231787,-3.622516,-3.749227,-3.782193,-1,22.65
2013-06-05,2.081443,2.262443,0.0,-2.428256,-2.428256,1.891403,0.45249,-0.651583,-1.205882,-1.281448,-1.342383,-1,22.1
2013-06-06,-0.853549,0.449241,-2.380952,0.723982,0.723982,0.871518,0.130279,-1.132075,-1.776729,-1.845463,-1.982629,0,22.26
2013-06-07,0.763363,0.763363,-0.853166,0.044924,0.044924,0.538841,0.305344,-0.904056,-1.659182,-1.74405,-1.95779,0,22.27
2013-06-10,0.541761,0.541761,-0.677201,-0.538841,-0.538841,0.613995,0.979684,-0.159518,-0.92325,-1.170203,-1.364936,-1,22.15
2013-06-11,0.596335,1.651381,-0.366972,-1.58014,-1.58014,1.449545,2.536701,1.510708,0.768354,0.39817,0.244653,-1,21.799999
2013-06-12,-0.677502,0.903347,-1.671179,1.559633,1.559633,-0.072265,0.817528,0.156584,-0.641369,-1.121947,-1.228541,0,22.139999
2013-06-13,0.226244,0.769231,-0.452489,-0.180664,-0.180664,-0.036201,0.782805,0.558069,-0.321267,-0.859728,-0.951735,-1,22.1
2013-06-14,1.009633,1.055525,-0.09179,-1.40271,-1.40271,0.945382,1.849467,1.991735,1.195498,0.594764,0.507874,-1,21.790001
2013-06-17,0.274847,0.732936,-0.824553,0.183566,0.183566,0.467246,1.278057,1.795694,1.094824,0.516721,0.309971,0,21.83
2013-06-18,-0.950231,0.995475,-1.131222,1.23683,1.23683,-0.488688,-0.208145,0.600301,-0.022624,-0.577375,-0.885369,0,22.1
2013-06-19,2.081401,2.173908,-0.185018,-2.171941,-2.171941,1.23959,1.785379,2.574772,2.234039,1.646619,1.253465,-1,21.620001
2013-06-20,3.621439,4.732023,-0.048276,-4.209075,-4.209075,4.345733,5.50942,6.479966,6.566881,5.964274,5.552878,-1,20.709999
2013-06-21,-0.240959,1.349402,-1.156627,0.193148,0.193148,3.142169,4.573493,5.683534,6.113253,5.64241,5.220884,0,20.75
2013-06-24,1.183427,2.26824,-0.887579,-2.265055,-2.265055,4.003941,6.074945,7.347135,8.182934,7.857983,7.499995,-1,20.280001
2013-06-25,-4.480453,0.285991,-4.480453,3.451671,3.451671,-0.533841,2.1449,3.234827,4.344614,4.1449,3.852876,0,20.98
2013-06-26,1.398939,1.784853,-1.013025,-1.191611,-1.191611,-0.192957,2.696576,4.039235,5.185721,5.26001,4.976685,-1,20.73
2013-06-27,-1.374412,1.279626,-1.563981,1.784853,1.784853,-1.573459,0.421802,1.848341,2.990521,3.363034,3.07583,0,21.1
2013-06-28,0.143135,0.477099,-0.667934,-0.663512,-0.663512,-0.715644,0.69657,2.111964,3.289604,3.896952,3.700705,-1,20.959999
2013-07-01,-0.566845,1.747761,-1.039202,1.001913,1.001913,-0.859708,-0.614077,0.790426,1.910722,2.735947,2.626358,0,21.17
2013-07-02,-0.564175,0.235073,-0.987311,0.472367,0.472367,-1.053127,-1.471556,0.150447,1.107193,2.126939,2.095283,0,21.27
2013-07-03,-2.536905,0.092256,-2.536905,1.927598,1.927598,-2.047971,-3.307196,-1.884994,-0.901753,0.05166,0.19834,0,21.68
2013-07-05,1.383121,1.383121,-1.844168,0.04613,0.04613,-1.549106,-2.899958,-2.056251,-1.078843,-0.158603,0.201317,0,21.690001
2013-07-08,-2.112355,0.089888,-2.247191,2.58183,2.58183,-2.867415,-4.669662,-4.38352,-3.573034,-2.732584,-2.250187,0,22.25
2013-07-09,-0.223718,0.268456,-1.208054,0.449438,0.449438,-2.246084,-4.170022,-4.656226,-3.959732,-3.225056,-2.614467,0,22.35
2013-07-10,0.089852,0.449241,-0.718778,-0.402685,-0.402685,-0.961365,-3.207547,-4.222821,-3.468104,-2.903863,-2.172806,-1,22.26
2013-07-11,-1.625663,0.439372,-2.240773,2.246181,2.246181,-2.188048,-4.442004,-5.99297,-5.452548,-4.920914,-4.277973,0,22.76
2013-07-12,-0.349803,0.5247,-1.13686,0.483308,0.483308,-1.626588,-4.127682,-5.815482,-5.738963,-5.271539,-4.696112,0,22.870001
2013-07-15,-0.218432,0.218445,-1.485365,0.087442,0.087442,-1.153338,-3.368278,-5.274497,-5.581035,-5.245955,-4.735688,0,22.889999
2013-07-16,-1.290873,0.0,-3.012044,1.529056,1.529056,-1.876076,-3.932874,-5.851979,-6.699656,-6.48537,-6.08864,0,23.24
2013-07-17,-0.725566,0.256082,-0.810926,0.817556,0.817556,-1.673069,-3.790012,-5.918338,-7.172428,-6.965429,-6.739223,0,23.43
2013-07-18,1.028278,1.028278,-1.585266,-0.384123,-0.384123,-0.796915,-2.707797,-4.810054,-6.446015,-6.401028,-6.202514,-1,23.34
2013-07-19,-0.769235,0.128205,-1.837611,0.257069,0.257069,-0.598291,-2.226496,-4.39886,-6.111111,-6.418803,-6.280627,0,23.4
2013-07-22,0.823224,0.823224,-0.389948,-1.367521,-1.367521,0.944541,-0.511265,-2.461005,-4.304593,-4.897747,-4.86424,-1,23.08
2013-07-23,0.781581,0.781581,-2.822414,-0.216633,-0.216633,0.981325,-4e-06,-1.710816,-3.499787,-4.482852,-4.530327,-1,23.030001
2013-07-24,1.312332,2.187227,-0.349956,-0.738168,-0.738168,1.233593,1.006121,-0.516189,-2.370957,-3.639549,-3.665796,-1,22.860001
2013-07-25,1.194695,1.415929,-0.70796,-1.137362,-1.137362,1.743365,2.097346,0.899706,-0.83407,-2.357522,-2.489675,-1,22.6
2013-07-26,-1.579645,0.131632,-1.886792,0.840712,0.840712,0.359805,1.211054,0.38028,-1.290043,-2.806498,-3.2017,0,22.790001
2013-07-29,1.519884,2.413943,-0.357622,-1.842913,-1.842913,1.609297,2.878853,2.300697,0.878405,-0.692002,-1.297873,-1,22.370001
2013-07-30,2.599179,3.374373,-0.273593,-1.966924,-1.966924,2.644782,4.345647,4.225567,3.075697,1.60146,0.697675,-1,21.93
2013-07-31,0.593883,1.096391,-1.187757,-0.182403,-0.182403,1.9461,3.832806,4.303341,3.40567,1.953409,0.849708,-1,21.889999
2013-08-01,0.457043,0.548451,-1.051184,-0.045683,-0.045683,1.334557,3.212986,4.082882,3.498634,2.210243,0.93541,-1,21.879999
2013-08-02,-0.548701,0.411513,-0.548701,-0.045695,-0.045695,0.539547,2.560582,3.825632,3.587102,2.397801,1.158356,-1,21.870001
2013-08-05,0.229152,1.145738,-0.733272,-0.228628,-0.228628,0.26581,2.21815,3.736634,3.72594,2.790102,1.553621,-1,21.82
2013-08-06,-0.501143,0.455572,-1.321189,0.595788,0.595788,-0.3098,1.120726,2.730445,3.020497,2.323459,1.205767,0,21.950001
2013-08-07,-0.410584,0.729927,-0.410584,-0.136679,-0.136679,-0.145984,0.830293,2.411802,3.083943,2.582118,1.487227,-1,21.92
2013-08-08,-0.181237,0.770276,-0.317173,0.684307,0.684307,-0.652468,-0.095151,1.332126,2.227006,1.955597,0.99985,0,22.07
2013-08-09,0.770975,1.451256,-0.816317,-0.090625,-0.090625,-0.399088,-0.340132,1.015879,2.133792,2.113384,1.235077,-1,22.049999
2013-08-12,-0.04562,0.821168,-0.775547,-0.589565,-0.589565,0.282847,0.04562,1.262166,2.518249,2.65876,1.981448,-1,21.92
